"Department","Course ID","Course Title","Instructors","Description"
"Marketing","MKTG8060","Retail Merchandising (Center Special Topic)(0.5 CU)","Bryan Eshelman","As a follow-on to Principles of Retailing (MKTG 7250), this course delves more deeply into both the fundamentals and recent trends in the end-to-end retail merchandising process.  The objective is to familiarize students with both the theory and practice of planning, buying, designing, pricing, and displaying merchandise to consumers.  This knowledge will be fundamental to careers working for retailers themselves (e-commerce or omnichannel), but also in consulting to retailers, in banking or investing in the retail sector, or even starting their a brand or retail concept.   Those seeking more depth in sourcing, distribution, fulfillment, and store/site operations should consider taking Retail Supply Chain Management (OIDD 6970)."
"Marketing","MKTG8090","Experiments for Business Decision Making (Center Special Topic)(1 CU)","Connor Campbell","In the past decade, massive shifts in how companies interact with their customers have suddenly made field experiments an economically feasible way to learn about a variety of business questions such as what types of promotions are most effective, what products should be stocked at a store, how e-mail promotions should be designed, how sales staff should be compensated, etc. Many marketers engaged in online retailing, direct-marketing, online advertising, media management, etc. are rapidly embracing a ""test and learn"" philosophy and a number of platforms such as Google Website Optimizer, have been developed to facilitate rigorous field experiments in the online environment. Just as with the quality revolution in manufacturing during the 1980s and 1990s, the rapid rise of the ""test and learn"" philosophy in marketing has created a huge demand for those who can design, field, and analyze marketing experiments. Through this course, you will learn and practice a wide range of critical skills, from the statistical methods used to design and analyze experiments to the management and strategy required to execute an experiment and act on the results. Although the cases and examples will focus on marketing problems, the material covered can be applied in a number of other domains particularly operations management and product design."
"Marketing","MKTG8530","Special Topics(1 CU)","Annie Wilson","Course titles and descriptions for Special Topics courses can be found in Path@Penn for the term in which they are offered. See ""SECTION DETAILS"" in Path@Penn for the course description and use the Syllabi@Wharton app to see the course syllabus."
"Marketing","MKTG8950","Global Business Week(0.5 CU)","Peter S Fader","GLOBAL BUSINESS WEEK: MKTG 895 is one in an array of Global Business Week (GBW) study tour courses offered by various departments across Wharton. Each of the GBW courses offered in a term, will entail travel to a different part of the world and address a different element of economic driver for a country or industry. A faculty member will drive the topic and curriculum associated with a study tour to a region of the world where the study of a topic will provide insights and clarity available only by being in country. In country lectures from the lead faculty and area experts in industry, academia and government will form much of the basis of class time. In addition, students will experience relevant company and cultural settings where they will again hear from industry experts. Each course will require an individual student paper, a participation component, and a pre-travel or in-country set of assignments. See course syllabus for details. CUSTOMER CENTRICITY AT THE LEADING EDGE OF ANALYTICS AND TECHNOLOGY: LEARNING FROM SCANDINAVIA. Instructor: Peter Fader. The concept of ""customer centricity,"" i.e., that not all customers are created equal, is gaining credibility and traction. More and more firms are coming to the realization that understanding and leveraging the behavioral differences across customers can potentially be more sustainably profitable than more conventional product- centric thinking that continues to dominate today's business landscape. At the heart of this transformation are three critical ingredients data, analytics, and technology. Using customer data at a granular level allows firms greater visibility into customer interactions, their use of social media, biometrics, and geolocation as tools to enhance business models and even create new ones. It allows a firm to be deliberate about which customers to go after and what kinds of services to provide them. For many, the key to profitable growth lies in successfully harnessing and developing the tools, organizational structures, and corporate cultures that create and enhance these capabilities."
"Marketing","MKTG8960","Global Modular Course(1 CU)","Gideon Nave, Peter S Fader, Stefano Puntoni, Ziv Z Katalan","Open to MBA, Executive MBA and, in some instances, Undergraduate students, these modular courses are intended to provide unique educational experiences to students in a regional context that has particular resonance with the topic. Taught around the globe, the modular courses help us enrich the curriculum and research on our own campuses in Philadelphia and San Francisco."
"Marketing","MKTG8970","Advanced Study: Luxury Branding and Retailing - Bringing it into the 21st Century(0.5 CU)","Barbara E Kahn","The luxury industry has been heavily impacted by the Covid-19 pandemic, with some estimates suggesting a contraction of over 20%.  Some of the changes in consumer behavior directly affected luxury in the short-term, but these changes in behavior may eventually revert to past history when the pandemic is over. Examples of these include the drop in tourism travel, work from home trends, reduced traffic to physical retail and malls, and the reduction of festive social activities (e.g., weddings). Other trends affected many industries and are likely to fundamentally change consumer behavior long-term: (1) net zero retail now, (2) digital by design, (3) thoughtful experience, (4) re-localization and (5) lead with purpose. This course explores the special challenges that are faced by luxury brands as they try to navigate rapidly evolving shopping behaviors in both the online and offline environments. In this course we will articulate the key principles for successful luxury branding & experiences and focus on the challenges and opportunities that luxury brands face. Although we will have some traditional lecture/discussion classes, the course is primarily experiential. We will explore  luxury broadly across many product categories. We will learn from what we see on location, but we will also critically assess how companies are coping with the challenges of the post-covid retailing environment."
"Operations, Information and Decisions","OIDD5110","How to Make Things: Production Prototyping Studio(1 CU)","Taylor Caputo","The course centers around a sequence of three projects that each culminate in the design and fabrication of functional objects. A 2D Design, 3D Design, and final ""Micro-Manufacturing"" project will introduce students to a wide variety of design, engineering, and fabrication skills made possible by the new Studios @ Tangen Hall. The micro-manufacturing final project will task interdisciplinary student teams to create a ""micro-business"" where they will design and utilize 3D printed molding and casting techniques to create a small-scale run of functional products. These products will then be showcased in an end of semester exposition, where the teams will merchandise and market their products to the Penn community. This exposition will also be a wonderful inaugural use of the student and alumni retail space on the 1st floor of Tangen Hall and serve as a great university-wide event to show case the work of SEAS students.  Requires proficiency in solid modeling software (e.g., SolidWorks, Maya, Rhino), practice with design process, and hands-on fabrication experience."
"Operations, Information and Decisions","OIDD5150","Product Design(1 CU)","Karl Thatcher Ulrich, Ashley Marcovitz, Clay Burns","This course provides tools and methods for creating new products. The course is intended for students with a strong career interest in new product development, entrepreneurship, and/or technology development. The course follows an overall product design methodology, including the identification of customer needs, generation of product concepts, prototyping, and design-for-manufacturing. Weekly student assignments are focused on the design of a new product and culminate in the creation of a prototype, which is launched at an end-of-semester public Design Fair. The course project is a physical good - but most of the tools and methods apply to services and software products. The course is open to any Penn sophomore, junior, senior or graduate student. The course follows a studio format, in which students meet for three hours each week with Professor Marcovitz for lectures and hands-on making, and students will complete 90 minutes of asynchronous, self-paced content from Professor Ulrich on their own time each week. Professor Ulrich gives one in-person lecture during the semester and attends the Design Fair, but is not present at the weekly studio sessions."
"Operations, Information and Decisions","OIDD5250","Thinking with Models: Business Analytics for Energy and Sustainability(1 CU)","Steven O Kimbrough","Models are lenses. They are instruments with which we view, interpret, and give meaning to data. In this course, students will be exposed to and do work in all phases of the modeling life-cycle, including model design and specification, model construction (including data gathering and testing), extraction of information from models during post-solution analysis, and creation of studies that use modeling results to support conclusions for scientific or decision making purposes. In addition, the course will cover critical assessments of fielded models and studies using them. The course will focus broadly on models pertaining to energy and sustainability. This is not only an inherently interesting and important area, but it is very much a public one. In consequence, models, data, and studies using them are publicly and profusely available, as is excellent journalism, which facilitates introductions to specific topics. The course covers selected topics in energy and sustainability. Essential background will be presented as needed, but the course is not a comprehensive overview of energy and sustainability. Modeling in the area of energy and sustainability analytics is rife with uncertainty, and yet decisions must be made. Uncertainty, and how to deal with it in model-based decision making, is an overarching theme of the course. We will focus on energy and sustainability, but that area is hardly unique in being beset with deep and vexing uncertainties. The lessons we learn will generalize. The overall aim of the course is to teach facility with modeling and to use real-world data, models, and studies in doing so. In addition, students with interests in investment or policy analysis in the energy sphere will find the course's subject area focus useful. OIDD 3250 is not a prerequisite for this course, but it's helpful if you have already taken it."
"Operations, Information and Decisions","OIDD5810","Convex Optimization for Statistics and Data Science(1 CU)","Yuxin Chen","Convex optimization has become a real pillar of modern data science and has transformed algorithm designs. A wide spectrum of problems in statistics, machine learning, and engineering can be formulated as optimization tasks that exhibit favorable convexity properties, which admit standardized and efficient solutions. This course aims to introduce the elements of convex optimization, concentrating on modeling aspects and algorithms that are useful in data science applications. Topics include convex sets, convex functions, linear and quadratic programs, semidefinite programming, optimality conditions and duality theory. We will visit important applications in statistics and machine learning to demonstrate the wide applicability of convex optimization. We will also cover effective optimization algorithms like gradient descent and Newton's method. Prerequisites: Basic linear algebra, basic calculus, basic probability, and knowledge of a programming language like MATLAB or Python to conduct simulation exercises."
"Operations, Information and Decisions","OIDD6110","Quality and Productivity(0.5 CU)","Christian Terwiesch, Santiago Gallino, Simone Marinesi","Matching supply with demand is an enormous challenge for firms: excess supply is too costly, inadequate supply irritates customers. In the course, we will explore how firms can better organize their operations so that they more effectively align their supply with the demand for their products and services. Throughout the course, we illustrate mathematical analysis applied to real operational challenges--we seek rigor and relevance. Our aim is to provide both tactical knowledge and high-level insights needed by general managers and management consultants. We will demonstrate that companies can use (and have used) the principles from this course to significantly enhance their competitiveness."
"Operations, Information and Decisions","OIDD6120","Business Analytics(0.5 CU)","Ziv Z Katalan, Sergei Savin, Noah F Gans","""Managing the Productive Core: Business Analytics"" is a course on business analytics tools and their application to management problems. Its main topics are optimization, decision making under uncertainty, and simulation. The emphasis is on business analytics tools that are widely used in diverse industries and functional areas, including operations, finance, accounting, and marketing."
"Operations, Information and Decisions","OIDD6130","Online Business Models and the Information-Based Firm(0.5 CU)","Daniel Rock","This course is devoted to the study of the strategic use of information and the related role of information technology. It is designed for students who want to manage and compete in technology-intensive businesses. Heavy emphasis is placed on applying information economics principles and theoretical rigor to analyze businesses in information-intensive industries using both qualitative and quantitative techniques. We will study information-based industries like digital media, social networks, financial services, and online retail as well as traditional businesses that are being changed by new digital capabilities. There are four broad themes for the course: the economics of information goods and services, information and consumer behavior, markets and market design, and network economics.   Each day we will discuss a core topic in one or more of these themes, with an emphasis on bridging theoretical ideas to real world applications. Application topics might include applying artificial intelligence, platform economics, and cryptocurrencies.  Technology skills are not required, although a background in information technology management, strategic management, data science, or managerial economics is helpful."
"Operations, Information and Decisions","OIDD6140","Innovation(0.5 CU)","Serguei Netessine","The course is first and foremost an intensive, integrative, project course in which student teams create one or more real businesses. Some businesses spun out of the course and now managed by alumni include Terrapass Inc. and Smatchy Inc. The project experience is an exciting context in which to learn key tools and fundamentals useful in innovation, problem solving, and design. Examples of these tools and fundamentals are: problem definition, identification of opportunities, generating alternatives, selecting among alternatives, principles of data graphics, and managing innovation pipelines. The course requires a commitment of at least 10 hours of work outside of class and comfort working on unstructured, interdisciplinary problems. Students with a strong interest in innovation and entrepreneurship are particularly encouraged to enroll. Please read carefully the syllabus posted on-line before registering for this course."
"Operations, Information and Decisions","OIDD6150","Operations Strategy(0.5 CU)","Ken Moon, Gerard Cachon, Senthil Veeraraghavan, Gad Allon","Operations strategy is about organizing people and resources to gain a competitive advantage in the delivery of products (both goods and services) to customers. This course approaches this challenge primarily from two perspectives: 1) how should a firm design their products so that they can be profitably offered; 2) how can a firm best organize and acquire resources to deliver its portfolio of products to customers. To be able to make intelligent decisions regarding these high-level choices, this course also provides a foundation of analytical methods. These methods give students a conceptual framework for understanding the linkage between how a firm manages its supply and how well that supply matches the firm's resulting demand. Specific course topics include designing service systems, managing inventory and product variety, capacity planning, approaches to sourcing and supplier management, constructing global supply chains, managing sustainability initiatives, and revenue management. This course emphasizes both quantitative tools and qualitative frameworks. Neither is more important than the other."
"Operations, Information and Decisions","OIDD6210","Decision Models and Uncertainty(0.5 CU)","Ziv Z Katalan","The applicability and use of management science models have increased dramatically in recent years due to the extraordinary improvements in computer, information, and communication technologies. Personal computers and friendly interfaces have become effective ""delivery vehicles"" for powerful decision models that were once the exclusive province of experts. This core course in management sicnece has a twofold purpose. First, it seeks to introduce simple models and ideas that provide powerful (and oftentimes surprising) qualitative insights about a large spectrum of managerial problems. Its main topics include linear and integer programming, decision making under uncertainty, and simulation. Second, it aims to give a feeling for the kinds of problems that can be tackled quantitatively, the methods and software available for doing so and the difficulties involved in gathering the relevant data. the emphasis is on models that are widely used in diverse industries and functions areas, including finance, operations, accounting, and marketing."
"Operations, Information and Decisions","OIDD6360","Scaling Operations: Linking Strategy and Execution(1 CU)","Gad Allon","The goal of this course is to make strategic scaling decisions that are grounded in operational reality. We study how to build and evaluate the operational business model of the firm to maximize value with the focus on scaling the firm's operations. We will approach the challenge of scaling by taking a holistic view that incorporates competitive strategy, financial evaluation, and the customer experience. We focus on decisions and challenges that many firms that try to scale their operations face with the focus on assessing the readiness of the firm to scale, and the required steps to scale. In particular, we will discuss whether the firm should build competencies in-house (i.e., investing in a portfolio of assets) or buy them (i.e., developing and implementing a global sourcing strategy and integrating external partners) and the risks associated with scaling these. We will also discuss the organizational implications of scaling. There are no formal pre-requisites to the class. Students who have already taken OIDD 611, OIDD 615, and STAT 613 should be equipped for the class. Other students should have a solid understanding of elementary probability and statistics. For questions regarding the specifics of your background, please contact the instructor."
"Operations, Information and Decisions","OIDD6420","Analytics for Services(0.5 CU)","Noah F Gans","This course covers a range of analytical methods that are useful tools for capacity management in services, and it will provide you with insights into the economics of a range of services businesses including (i) High-level planning models that account for multiple dimensions of service capacity, (ii) Low-level models of system congestion that capture the relationship between capacity choices, quality of service and, in some cases, system revenue, (iii) Statistical estimation and forecasting models to characterize key measures of future supply and demand. Students who have already taken OIDD 611, OIDD 612, and STAT 613 should be wellequipped for the class. Other students should have a solid understanding of elementary probability, statistics and linear programming. For questions regarding the specifics of your background, please contact the instructor."
"Operations, Information and Decisions","OIDD6530","Mathematical Modeling and its Application in Finance(1 CU)","Ziv Z Katalan","Quantitative methods have become fundamental tools in the analysis and planning of financial operations. There are many reasons for this development: the emergence of a whole range of new complex financial instruments, innovations in securitization, the increased globalization of the financial markets, the proliferation of information technology and the rise of high-frequency traders, etc. In this course, models for hedging, asset allocation, and multi-period portfolio planning are developed, implemented, and tested. In addition, pricing models for options, bonds, mortgage-backed securities, and other derivatives are studied. The models typically require the tools of statistics, optimization, and/or simulation, and they are implemented in spreadsheets or a high-level modeling environment, MATLAB. This course is quantitative and will require extensive computer use. The course is intended for students who have strong interest in finance. The objective is to provide students the necessary practical tools they will require should they choose to join the financial services industry, particularly in roles such as: derivatives, quantitative trading, portfolio management, structuring, financial engineering, risk management, etc. Prospective students should be comfortable with quantitative methods, such as basic statistics and the methodologies (mathematical programming and simulation) taught in OIDD 612 Business Analytics or OIDD 321 Management Science (or equivalent). Students should seek permission from the instructor if the background requirements are not met."
"Operations, Information and Decisions","OIDD6540","Product Management(0.5 CU)","Karl Thatcher Ulrich","The course provides the student with a number of tools and concepts necessary for the contemporary practice of product management. The course is most relevant to those who hope to work as product managers, as well as for entrepreneurs who will typically serve as their venture's initial product managers. General managers and other functional managers may also find the course valuable to better understand the product management function. The key modules in the course comprise (a) creating something from nothing, (b) design and design thinking, (c) performance measurement and the communication of quantitative information, (d) agile development processes, and (e) managing growth. Alumni guest speakers in interesting product management roles will typically be scheduled weekly in the course. Many examples, tools, and methods will come from technology-based industries, but applications will also be drawn from financial services and consumer products. Most assignments will be completed for a focal product selected by each student, which could be an entrepreneurial project, something related to current or prior employment, or simply a product of personal interest. A recent Canvas site for the course is here, and should be viewable by the public. https://canvas.upenn.edu/courses/1575358 Other Information: Pedagogy includes lectures, small-group discussion, current and historical cases, podcasts, documentary films, and application of tools to a focal product. Most assignments are individual. PLEASE NOTE: Only Wharton MBA students may register for OIDD 6540."
"Operations, Information and Decisions","OIDD6590","Advanced Topics: Supply Chain Analytics(1 CU)","Sean Willems, Sean Willems, Linnea Gandhi","OIDD 6590 enables students to develop modeling skills and a problem-solving toolkit applicable to the design and planning of supply chains.  The course is comprised of case studies written by recent MBA students tackling real supply chain analytics problems.  Some of the cases covered describe work at Gillette, Google, HP, a franchise fitness studio, and a steel importer.  The course covers capacity problems including machine scheduling, strategic sourcing in the presence of tariffs, and network design.  The course covers inventory problems including postponement center sizing, multiechelon inventory optimization, and supply chain configuration."
"Operations, Information and Decisions","OIDD6620","Enabling Technologies(1 CU)","Kartik Hosanagar, Lynn Wu","This course is about understanding emerging technology enablers with a goal of stimulating thinking on new applications for commerce. The class is self-contained (mainly lecture-based) and will culminate in a class-driven identification of novel businesses that exploit these enablers. No prerequisite or technical background is assumed. Students with little prior technical background can use the course to become more technologically informed. Those with moderate to advanced technical background may find the course a useful survey of emerging technologies. The course is recommended for students interested in careers in consulting, investment banking and venture capital in the tech sector. OIDD 6620 will be taught in the regular 1 CU format by Prof Lynn Wu. When taught by Prof Hosanagar, OIDD 6620 will be delivered in a 0.5 CU format. The shorter course will focus primarily on Mobile, Data/AI, and Web3."
"Operations, Information and Decisions","OIDD6670","A.I., Business, and Society(0.5 CU)","Vitaly Meursault, Kartik Hosanagar","The course provides an overview of AI and its role in business transformation. The purpose of this course is to improve understanding of AI, discuss the many ways in which AI is being used in the industry, and provide a strategic framework for how to bring AI to the center of digital transformation efforts. In terms of AI overview, we will go over a brief technical overview for students who are not actively immersed in AI (topics covered include Big Data, data warehousing, datamining, machine learning, etc). In terms of business applications, we will consider applications of AI in Media, Finance, Healthcare, Retail, and other industries. Finally, we will consider how AI can be used as a source of competitive advantage. We will conclude with a discussion of ethical challenges and a governance framework for AI. No prior technical background is assumed but some interest in (and exposure to) technology is helpful. Every effort is made to build most of the lectures from the basics."
"Operations, Information and Decisions","OIDD6730","Global Supply Chain Mgmt.(0.5 CU)","Santiago Gallino","Several forces, ranging from technology that has dramatically reduced the cost of communication, to political developments such as the opening up of China, Vietnam, and Eastern Europe, have created an avalanche of outsourcing and offshoring and lead to supply chains that stretch halfway around the world. This course will study the many questions that arise in the management of such global supply chains, including: Which design and production activities to do in-house and which to outsource? Where to locate various activities around the world? How to forecast the many factors that influence these decisions, including inflation in cost factors such as labor and freight, and the likelihood of future government regulation or political instability? How to keep the supply chain flexible so as to adapt to change? How to manage a geographically disbursed supply chain, including what relationships to have with vendors to ensure low cost, high quality, flexibility, safety, humane labor practices and respect for sustainability of the environment? The course is highly interactive, using case discussions in most classes and senior supply chain executives in many sessions. Grades are based one-third each on class participation, individual write-ups of the discussion questions for 3 of the class sessions, and a course paper."
"Operations, Information and Decisions","OIDD6800","Operations Strategy Practicum(1 CU)","Sean Willems","This course will focus on the management of operations at manufacturing and service facilities of domestic corporations and foreign multinational companies. Our emphasis will be on the evolving patterns of operations strategies adopted by firms for producing products, sourcing manufacturing, distributing products, delivering services and managing product design as well as on programs for enhancing quality, productivity and flexibility. The course will focus on the formulation and execution of such strategies for a collection of firms in the context of the current dynamics of global competition. The course consists of a set of site visits and in-class sessions which include lectures, case discussions and management speakers who will describe their company's current strategy."
"Operations, Information and Decisions","OIDD6900","Managerial Decision Making(1 CU)","Katherine Milkman, Joseph Simmons","The course is built around lectures reviewing multiple empirical studies, class discussion,and a few cases. Depending on the instructor, grading is determined by some combination of short written assignments, tests, class participation and a final project (see each instructor's syllabus for details)."
"Operations, Information and Decisions","OIDD6910","Negotiations(1 CU)","Drew Jacoby-Senghor, Nazli Bhatia, Rachel Arnett, Gus Cooney, Morvarid Taheripour, Zachary Herrmann, Mary McDonnell, uri zaK, Eric Max","This course examines the art and science of negotiation, with additional emphasis on conflict resolution. Students will engage in a number of simulated negotiations ranging from simple one-issue transactions to multi-party joint ventures. Through these exercises and associated readings, students explore the basic theoretical models of bargaining and have an opportunity to test and improve their negotiation skills. Cross-listed with MGMT 6910/OIDD 6910/LGST 8060. Format: Lecture, class discussion, simulation/role play, and video demonstrations. Materials: Textbook and course pack."
"Operations, Information and Decisions","OIDD6920","Advanced Topics Negotiation(1 CU)","Maurice Schweitzer","This is a course the builds on the basic Negotiation course. In this course, we explore a wide range of negotiation topics from crisis and hostage negotiations, to the role of emotions including anxiety, envy and anger in negotiations, to backlash effects for women in negotiations, and the role of alcohol in negotiations. We will survey many aspects of current negotiation research, discuss historic negotiation cases, and students will participate in role-play exercises. Many of the role play exercises will involve multi-party negotiations and afford opportunities to hone skills in team-based negotiations."
"Operations, Information and Decisions","OIDD6930","Influence(0.5 CU)","Cade Massey","Building, protecting and using influence is critical for achieving your goals. This requires good personal decision making as well as understanding others' decision-making, proficiency at the negotiation table as well as with the tacit negotiations before and after sitting at the table. In this course, we focus on building your facility with a wide range of influence tools to help with these efforts. Topics include power and status, informal networks, coalitions and persuasion."
"Operations, Information and Decisions","OIDD6950","Semester in San Francisco Regional Seminar(0.5 CU)","Karl Thatcher Ulrich","As part of the Wharton Semester in San Francisco (SSF) program, this course is designed to (i) provide integrative material that emphasizes links between finance, marketing, product design, negotiations, and other themes in the SSF academic curriculum; (ii) link classroom theories and principles to actual practice by reflecting on the academic literature and (iii) highlight the unique characteristics of, and the programs proximity to, the Bay Area economy. All students participating in the SSF are required to register for this Regional Seminar."
"Operations, Information and Decisions","OIDD6970","Retail Supply Chain Management(0.5 CU)","Santiago Gallino","This course is highly recommended for students with an interest in pursuing careers in: (1) retailing and retail supply chains; (2) businesses like banking, consulting, information technology, that provides services to retail firms; (3) manufacturing companies (e.g. P&G) that sell their products through retail firms. Retailing is a huge industry that has consistently been an incubator for new business concepts. This course will examine how retailers understand their customers' preferences and respond with appropriate products through effective supply chain management. Supply chain management is vitally important for retailers and has been noted as the source of success for many retailers such as Wal-mart and Home Depot, and as an inhibitor of success for e-tailers as they struggle with delivery reliability. See M. L. Fisher, A. Raman and A. McClelland, ""Rocket Science Retailing is Coming - Are You Ready?,"" Harvard Business Review, July/August 2000 for related research."
"Operations, Information and Decisions","OIDD7050","Leading With Grit: How to Inspire with Passion and Perseverance for Long-Term Goals(0.5 CU)","Angela Duckworth","The aims of Leading With Grit are two-fold: (1) to help students apply scientific insights about passion and perseverance for long-term goals to their own career, and (2) to prepare them to lead an organization that encourages grit among its employees. At the heart of this course are cutting-edge scientific insights on the mindsets, strategies, and contextual factors that incline individuals to pursue challenges that take years (or more) to complete. Each week, in addition to a three-hour seminar, students will complete an experiential activity, a brief written reflection, and readings. Most weeks, we will welcome a Grit Guest, an outside speaker who exemplifies grit, for a fireside chat on that week's topic."
"Operations, Information and Decisions","OIDD7610","Risk Analysis and Environmental Management(1 CU)","Michael Panfil","This course will introduce students to concepts in risk governance. We will delve into the three pillars of risk analysis: risk assessment, risk management, and risk communication. The course will spend time on risk financing, including insurance markets. There will be particular emphasis on climate risk management, including both physical impact risk and transition risk, although the course will also discuss several other examples, including management of environmental risks, terrorism, and cyber-security, among other examples. The course will cover how people perceive risks and the impact this has on risk management. We will explore public policy surrounding risk management and how the public and private sector can successfully work together to build resilience, particularly to changing risks."
"Operations, Information and Decisions","OIDD7620","Environmental Sustainability and Value Creation(0.5 CU)","Gary Survis, David Jacoby","This course provides an overview of topics related to corporate sustainability with a focus on how environmentally sustainable approaches can create value for the firm. The course explores trends in corporate practices and students consider specific examples of such practices to examine the interactions between the firm and the environment. This course has three objectives: to increase students' knowledge of sustainability practices and their impact on firm performance; to teach students to think strategically and act entrepreneurially on environmental issues; and to help students design business approaches to improve environmental outcomes, while simultaneously creating value."
"Operations, Information and Decisions","OIDD7630","Energy Markets & Policy(1 CU)","Arthur van Benthem","Over the last several decades, energy markets have become some of the most dynamic markets of the world economy. Traditional fossil fuel and electricity markets have been seen a partial shift from heavy regulation to market-driven incentives, while rising environmental concerns have led to a wide array of new regulations and ""environmental markets"". The growth of renewable energy could be another source of rapid change, but brings with it a whole new set of technological and policy challenges. This changing energy landscape requires quick adaptation from energy companies, but also offers opportunities to turn regulations into new business. The objective of this course is to provide students with the economist's perspective on a broad range of topics that professionals in the energy industry will encounter. Topics include the effect of competition, market power and scarcity on energy prices, the impact of deregulation on electricity and fossil fuel markets, extraction and pricing of oil and gas, geopolitical uncertainty and risk in hydrocarbon investments, the environmental impact and policies related to the energy sector, environmental cap-and-trade markets, energy efficiency, the economics and finance of renewable energy, and recent developments in the transportation sector."
"Operations, Information and Decisions","OIDD7770","Introduction to Python for Data Science(1 CU)","Richard Paul Waterman, Dean Knox","The goal of this course is to introduce the Python programming language within the context of the closely related areas of statistics and data science. Students will develop a solid grasp of Python programming basics, as they are exposed to the entire data science workflow, starting from interacting with SQL databases to query and retrieve data, through data wrangling, reshaping, summarizing, analyzing and ultimately reporting their results. Competency in Python is a critical skill for students interested in data science. Prerequisites: No prior programming experience is expected, but statistics, through the level of multiple regression is required. This requirement may be fulfilled with MBA courses such as STAT 6130/6210; or by waiving MBA statistics."
"Operations, Information and Decisions","OIDD7930","People Analytics(0.5 CU)","Matthew Bidwell","This course examines the use of data to improve how people are managed within organizations. Recent years have seen a growing movement to bring more science to how we manage people. In some cases, that means ensuring that whatever practices and approaches we adopt are backed up by solid evidence as to their effectiveness. Often, organizations will seek to go further, analyzing their own data to identify problems and learn what is working and what is not in their own context. This course applies the insights of the people analytics movement to help students become better managers and more critical analysts within their organizations. The course aims to develop students in three specific ways. First, it provides students with an up-to-the-minute grounding in current evidence about managing people, providing a knowledge base that can ensure that their future management is guided by best practices. Second, it develops the skills and understanding necessary to be thoughtful, critical consumers of evidence on people management, allowing them to make the most of the analysis available to them as they make people decisions. Third, it provides guidance and practice in conducting people analytics, preparing students to gather data of their own, and making them more skilled analysts. The course addresses these topics through a mixture of lecture, case discussion, and hands on exploration of a variety of data sets."
"Operations, Information and Decisions","OIDD8970","Global Modular Course(1 CU)","Edwin Keh, Santiago Gallino, Philip M Nichols, Kartik Hosanagar, Ziv Z Katalan, Janice Bellace, Senthil Veeraraghavan, Sergei Savin, Hummy Song, Stephen Sammut","Global Modular Course (GMC) - MBA"
"Real Estate","REAL7050","Global Real Estate: Risk, Politics and Culture(1 CU)","Maisy Wong","This is an introductory course on real estate markets around the world. The goal of the course is to help students develop a global mindset by introducing and applying the basics of real estate valuation and risk management to a wide range of global contexts. The course emphasizes topics students will need to understand cross-border real estate strategies, including currency risk, political risk, rule of law, property rights, and culture. We will discuss relevant current events and use them to characterize risks facing real estate investors. The course largely covers markets outside the United States, except when it is useful to compare with the U.S. or for occasional special topics. We will focus more on the qualitative aspects of real estate investment analysis and less on the quantitative aspects. This is a full-semester course, cross-listed for MBA’s and undergraduates."
"Real Estate","REAL7080","Housing Markets(1 CU)","Joseph Gyourko","This course is designed for students interested in the economics and operations of housing markets.  It is primarily a U.S.-focused course.  The class is divided into five sections:  (1) economic analysis of housing market fundamentals (supply and demand);  (2) a policy analysis section on housing affordability issues in the U.S.;  (3) operations of homebuilders and rental landlords, as well as the single family rental sector;  this section includes a series of guest lecturers from industry executives;  (4) the nature of housing cycles;  and (5) a discussion of factors that have affected the evolution of housing markets over the long run. This course presumes knowledge of intermediate microeconomics.  For Wharton students, this means you must have passed MGEC 6110.  Non-Wharton students should have taken the equivalent course in the College.  The class is primarily lecture based, although we will have one flipped class, as well as a number of guest lecturers from industry.  There are two in-class midterms and two assignments."
"Real Estate","REAL7210","Real Estate Investment: Analysis and Financing(1 CU)","Benjamin Keys, Sophie Calder-Wang, Todd Sinai","This course provides an introduction to real estate investing with a focus on financial and economic analysis. It is intended both as a foundational class for students considering a career in real estate as well as a survey class for students interested in finance who want to learn about the real estate sector.  Project evaluation, financing strategies, risk assessment, investment decision making, and real estate capital markets are covered. No prior knowledge of the industry is required, but students will rapidly acquire a working knowledge of real estate markets and will quickly develop the quantitative tools to help them make investment decisions. Classes are conducted in a standard lecture format with discussion required. The course contains cases that help students evaluate the impact of more complex financing and capital markets tools used in real estate. There are three case studies and two midterms.  FNCE 6110 is required as the class assumes comfort with Corporate Finance concepts and terms."
"Real Estate","REAL7240","Urban Real Estate Economics(1 CU)","Susan M Wachter","Urban Real Estate Economics uses economic concepts to analyze real estate markets, values, and trends. The course focuses on market dynamics in the U.S. and internationally, with an emphasis on how urban growth and local and federal government policies impact urban development and real estate pricing. A group development project gives hands on experience, and invited guest speakers bring industry knowledge. Besides the group project and presentation, problem sets are required along with a midterm and optional second exam. Lecture with discussion required."
"Real Estate","REAL7300","Urban Fiscal Policy(1 CU)","Fernando Ferreira","This course will examine the provision of public services for firms and people through cities and other local governments.  Why cities exist, when fiscal policy fails, investments in infrastructure, how to improve school quality, realities of local governments such as inequality, crime, corruption, high cost of living, congestion, and unfunded pensions will be covered.  We will pay special attention to recent topics, such as the impact of the Covid-19 pandemic on city and public school finances, racial differences in police use of force, partnerships with the private sector, enterprise zones, the role of technology, and real estate policies that may (or may not!) promote housing affordability, such as inclusionary zoning and rent control."
